7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;GOAL
5;0.8;1;1;0;0;0;0;1;0;1;1;6
3;0.33;0;0;0;0;4;0.5;0;0;0;0;3
0;0;1;1;0;0;2;0.5;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;2;1;0;0;5;1;7
0;0;5;0.8;1;0;0;0;0;0;0;0;4
0;0;0;0;0;0;3;0.33;0;0;2;1;3
0;0;0;0;0;0;2;1;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.5;0;0;0;0;7;0.86;0;0;1;1;8
0;0;0;0;0;0;2;0.5;0;0;0;0;1
2;0.5;0;0;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;1;0;0;0;5;0.8;0;0;2;1;9
4;0.5;0;0;0;0;1;1;0;0;1;1;4
0;0;0;0;0;0;3;0.67;0;0;0;0;2
1;1;0;0;0;0;0;0;0;0;0;0;1
0;0;1;1;0;0;3;0.33;0;0;1;1;3
2;0.5;0;0;0;0;1;1;0;0;2;0;2
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;4;0.75;0;0;0;0;3
0;0;0;0;0;0;3;0.67;1;1;0;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;1;1;0;0;3;0.67;0;0;1;1;8
0;0;0;0;0;0;1;0;0;0;1;1;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;0;0;4;0.75;0;0;2;1;6
3;0.67;3;0.33;0;0;0;0;0;0;2;1;5
0;0;0;0;0;0;4;0.5;0;0;1;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;5;1;0;0;0;0;5
0;0;2;1;1;1;0;0;0;0;0;0;3
0;0;1;1;0;0;1;1;0;0;0;0;2
1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;1;0;3;1;0;0;2;0.5;5
0;0;1;1;0;0;4;0.5;0;0;0;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;0;0;0;0;1;1;0;0;1;1;6
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0
6;0.83;0;0;0;0;2;0.5;0;0;1;1;7
3;0.33;1;1;0;0;2;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;0;0;0;0;1;0;0;0;0;0;0
3;1;0;0;0;0;1;1;0;0;0;0;4
0;0;0;0;0;0;5;0.4;1;1;0;0;3
0;0;0;0;0;0;0;0;0;0;2;0.5;1
0;0;0;0;0;0;4;0.25;0;0;0;0;1
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;1;0;1;0;0;0;0;0;0
0;0;0;0;0;0;2;0;0;0;0;0;0
0;0;0;0;0;0;3;1;0;0;1;1;4
